,년,월,일,시간,건구온도 (℃),건구온도_불확도 (℃),이슬점온도 (℃),이슬점온도_불확도 (℃),상대습도 (%),상대습도_불확도 (%),표면기압 (hPa),표면기압_불확도 (hPa),풍속 (m/s),풍속_불확도 (m/s),수평면 전일사량 (Wh/m²),수평면 전일사량_불확도 (Wh/m²)
81,2016,1,4,9,4.7,2.4,3.0,1.7,89,10.7,1013.1,1.5,2.3,0.9,190,13
82,2016,1,4,10,6.8,2.4,2.6,1.7,75,9.0,1014.0,1.5,3.3,1.2,345,24
83,2016,1,4,11,7.4,2.4,1.1,1.7,64,7.7,1014.2,1.5,3.6,1.3,461,32
84,2016,1,4,12,8.3,2.4,-0.0,1.7,56,6.7,1013.9,1.5,3.6,1.3,521,36
85,2016,1,4,13,9.0,2.4,-1.1,1.7,49,5.9,1013.1,1.5,3.6,1.3,287,20
86,2016,1,4,14,9.5,2.4,-2.2,1.7,44,5.3,1013.0,1.5,3.6,1.3,453,32
87,2016,1,4,15,9.6,2.4,-3.1,1.7,41,4.9,1013.3,1.5,3.4,1.3,333,23
88,2016,1,4,16,9.6,2.4,-2.5,1.7,43,5.2,1013.0,1.5,3.0,1.1,177,12
89,2016,1,4,17,8.5,2.4,-3.1,1.7,44,5.3,1013.7,1.5,2.6,1.0,33,2
90,2016,1,4,18,7.1,2.4,-3.4,1.7,47,5.6,1014.0,1.5,2.6,1.0,10,1
91,2016,1,4,19,5.9,2.4,-3.6,1.7,51,6.1,1014.8,1.5,2.8,1.0,10,1
92,2016,1,4,20,5.1,2.4,-4.2,1.7,51,6.1,1015.6,1.5,3.1,1.1,0,0
93,2016,1,4,21,4.4,2.4,-4.7,1.7,52,6.2,1016.1,1.5,3.3,1.2,0,0
94,2016,1,4,22,3.7,2.4,-5.2,1.7,52,6.2,1016.1,1.5,3.4,1.3,0,0
95,2016,1,4,23,3.2,2.4,-5.9,1.7,51,6.1,1016.1,1.5,3.5,1.3,0,0
96,2016,1,5,0,2.7,2.4,-7.0,1.7,49,5.9,1016.1,1.5,3.5,1.3,0,0
97,2016,1,5,1,2.3,2.4,-8.2,1.7,46,5.5,1016.2,1.5,3.7,1.4,0,0
98,2016,1,5,2,1.9,2.4,-9.1,1.7,44,5.3,1016.2,1.5,3.7,1.4,0,0
99,2016,1,5,3,1.5,2.4,-9.6,1.7,43,5.2,1016.2,1.5,3.8,1.4,0,0
100,2016,1,5,4,2.1,2.4,-8.8,1.7,44,5.3,1016.1,1.5,3.5,1.3,0,0
101,2016,1,5,5,1.7,2.4,-9.3,1.7,44,5.3,1015.7,1.5,3.6,1.3,0,0
102,2016,1,5,6,1.6,2.4,-9.8,1.7,42,5.0,1015.8,1.5,3.6,1.3,0,0
103,2016,1,5,7,1.6,2.4,-10.2,1.7,41,4.9,1016.5,1.5,3.6,1.3,10,1
104,2016,1,5,8,1.5,2.4,-10.4,1.7,41,4.9,1016.8,1.5,3.7,1.4,2,0
105,2016,1,5,9,1.7,2.4,-10.9,1.7,39,4.7,1017.1,1.5,3.7,1.4,6,0
106,2016,1,5,10,2.1,2.4,-10.6,1.7,38,4.6,1017.8,1.5,3.8,1.4,11,1
107,2016,1,5,11,2.4,2.4,-9.7,1.7,40,4.8,1018.2,1.5,3.8,1.4,19,1
108,2016,1,5,12,2.8,2.4,-8.6,1.7,43,5.2,1017.8,1.5,3.8,1.4,23,2
109,2016,1,5,13,3.4,2.4,-8.0,1.7,43,5.2,1017.0,1.5,3.7,1.4,61,4
110,2016,1,5,14,3.7,2.4,-7.7,1.7,43,5.2,1016.5,1.5,3.5,1.3,0,0
111,2016,1,5,15,4.0,2.4,-8.1,1.7,41,4.9,1016.5,1.5,3.3,1.2,129,9
112,2016,1,5,16,4.0,2.4,-9.1,1.7,38,4.6,1016.2,1.5,2.9,1.1,109,8
113,2016,1,5,17,3.7,2.4,-9.8,1.7,37,4.4,1016.5,1.5,2.7,1.0,33,2
114,2016,1,5,18,3.0,2.4,-10.2,1.7,37,4.4,1016.8,1.5,3.0,1.1,10,1
115,2016,1,5,19,2.1,2.4,-10.7,1.7,38,4.6,1017.2,1.5,3.3,1.2,10,1
116,2016,1,5,20,1.6,2.4,-11.4,1.7,37,4.4,1017.7,1.5,3.5,1.3,0,0
117,2016,1,5,21,1.1,2.4,-11.9,1.7,37,4.4,1017.8,1.5,3.5,1.3,0,0
118,2016,1,5,22,0.9,2.4,-12.2,1.7,37,4.4,1018.0,1.5,3.5,1.3,0,0
119,2016,1,5,23,0.5,2.4,-12.4,1.7,37,4.4,1018.0,1.5,3.5,1.3,0,0
120,2016,1,6,0,0.3,2.4,-12.1,1.7,39,4.7,1018.0,1.5,3.3,1.2,0,0
121,2016,1,6,1,0.2,2.4,-12.4,1.7,38,4.6,1017.8,1.5,3.4,1.3,0,0
122,2016,1,6,2,0.0,2.4,-12.6,1.7,38,4.6,1017.3,1.5,3.5,1.3,0,0
123,2016,1,6,3,-0.1,2.4,-12.9,1.7,38,4.6,1016.9,1.5,3.6,1.3,0,0
124,2016,1,6,4,0.3,2.4,-13.1,1.7,36,4.3,1016.6,1.5,3.5,1.3,0,0
125,2016,1,6,5,0.2,2.4,-13.2,1.7,36,4.3,1016.5,1.5,3.6,1.3,0,0
126,2016,1,6,6,-0.1,2.4,-13.3,1.7,36,4.3,1016.6,1.5,3.9,1.4,0,0
127,2016,1,6,7,-0.2,2.4,-12.6,1.7,39,4.7,1017.0,1.5,4.0,1.5,10,1
128,2016,1,6,8,-0.3,2.4,-10.4,1.7,46,5.5,1017.1,1.5,4.0,1.5,42,3
129,2016,1,6,9,0.4,2.4,-8.7,1.7,50,6.0,1016.9,1.5,4.1,1.5,141,10
130,2016,1,6,10,1.8,2.4,-7.2,1.7,51,6.1,1017.0,1.5,4.2,1.6,351,25
131,2016,1,6,11,3.3,2.4,-6.2,1.7,50,6.0,1016.2,1.5,4.1,1.5,468,33
132,2016,1,6,12,4.7,2.4,-5.6,1.7,47,5.6,1015.4,1.5,4.0,1.5,406,28
133,2016,1,6,13,5.6,2.4,-5.2,1.7,46,5.5,1014.3,1.5,4.0,1.5,528,37
134,2016,1,6,14,6.0,2.4,-5.1,1.7,45,5.4,1013.8,1.5,4.0,1.5,344,24
135,2016,1,6,15,6.0,2.4,-5.0,1.7,45,5.4,1013.5,1.5,3.9,1.4,261,18
136,2016,1,6,16,5.4,2.4,-5.5,1.7,45,5.4,1012.9,1.5,3.8,1.4,160,11
137,2016,1,6,17,4.6,2.4,-5.7,1.7,47,5.6,1013.2,1.5,3.8,1.4,37,3
138,2016,1,6,18,3.4,2.4,-5.9,1.7,51,6.1,1013.1,1.5,3.7,1.4,10,1
139,2016,1,6,19,2.6,2.4,-5.8,1.7,54,6.5,1013.8,1.5,3.5,1.3,10,1
140,2016,1,6,20,2.1,2.4,-5.4,1.7,58,7.0,1014.2,1.5,3.2,1.2,0,0
141,2016,1,6,21,1.7,2.4,-5.0,1.7,61,7.3,1014.5,1.5,3.1,1.1,0,0
142,2016,1,6,22,1.4,2.4,-4.8,1.7,63,7.6,1014.7,1.5,3.6,1.3,0,0
143,2016,1,6,23,1.0,2.4,-4.6,1.7,66,7.9,1014.6,1.5,4.2,1.6,0,0
144,2016,1,7,0,0.6,2.4,-4.3,1.7,70,8.4,1014.4,1.5,4.8,1.8,0,0
145,2016,1,7,1,0.5,2.4,-4.1,1.7,71,8.5,1014.5,1.5,5.1,1.9,0,0
146,2016,1,7,2,0.5,2.4,-3.9,1.7,72,8.6,1014.2,1.5,4.6,1.7,0,0
147,2016,1,7,3,0.4,2.4,-3.9,1.7,73,8.8,1014.1,1.5,4.6,1.7,0,0
148,2016,1,7,4,0.1,2.4,-5.0,1.7,69,8.3,1013.5,1.5,4.8,1.8,0,0
149,2016,1,7,5,-0.3,2.4,-5.2,1.7,70,8.4,1013.7,1.5,4.7,1.7,0,0
150,2016,1,7,6,-0.6,2.4,-6.1,1.7,66,7.9,1013.9,1.5,4.8,1.8,0,0
151,2016,1,7,7,-1.0,2.4,-7.3,1.7,62,7.4,1014.4,1.5,5.1,1.9,10,1
152,2016,1,7,8,-1.4,2.4,-8.3,1.7,59,7.1,1014.9,1.5,5.2,1.9,41,3
153,2016,1,7,9,-1.0,2.4,-9.2,1.7,54,6.5,1015.1,1.5,5.4,2.0,195,14
154,2016,1,7,10,0.2,2.4,-8.7,1.7,51,6.1,1015.4,1.5,5.6,2.1,355,25
155,2016,1,7,11,1.4,2.4,-8.4,1.7,48,5.8,1015.2,1.5,5.6,2.1,474,33
156,2016,1,7,12,2.6,2.4,-8.2,1.7,45,5.4,1014.6,1.5,5.4,2.0,538,38
157,2016,1,7,13,3.5,2.4,-8.1,1.7,42,5.0,1013.8,1.5,5.1,1.9,537,38
158,2016,1,7,14,4.1,2.4,-8.2,1.7,40,4.8,1013.4,1.5,4.7,1.7,460,32
159,2016,1,7,15,4.2,2.4,-8.3,1.7,40,4.8,1013.4,1.5,4.3,1.6,270,19
160,2016,1,7,16,4.0,2.4,-7.8,1.7,42,5.0,1012.9,1.5,3.6,1.3,187,13
161,2016,1,7,17,3.3,2.4,-7.9,1.7,44,5.3,1013.5,1.5,3.3,1.2,26,2
162,2016,1,7,18,2.4,2.4,-7.8,1.7,47,5.6,1014.0,1.5,3.5,1.3,11,1
163,2016,1,7,19,1.5,2.4,-7.9,1.7,50,6.0,1014.5,1.5,3.7,1.4,10,1
164,2016,1,7,20,0.8,2.4,-8.0,1.7,52,6.2,1014.7,1.5,3.8,1.4,0,0
165,2016,1,7,21,0.2,2.4,-8.1,1.7,54,6.5,1014.6,1.5,3.9,1.4,0,0
166,2016,1,7,22,-0.3,2.4,-8.5,1.7,54,6.5,1014.5,1.5,4.1,1.5,0,0
167,2016,1,7,23,-0.8,2.4,-8.8,1.7,55,6.6,1014.3,1.5,4.3,1.6,0,0
168,2016,1,8,0,-1.3,2.4,-8.7,1.7,57,6.8,1014.0,1.5,4.1,1.5,0,0
169,2016,1,8,1,-1.6,2.4,-8.5,1.7,59,7.1,1013.5,1.5,4.1,1.5,0,0
170,2016,1,8,2,-1.7,2.4,-8.3,1.7,61,7.3,1013.3,1.5,4.3,1.6,0,0
171,2016,1,8,3,-1.8,2.4,-8.1,1.7,62,7.4,1013.0,1.5,4.5,1.7,0,0
172,2016,1,8,4,-1.9,2.4,-8.8,1.7,59,7.1,1012.7,1.5,4.8,1.8,0,0
173,2016,1,8,5,-1.8,2.4,-8.9,1.7,58,7.0,1012.3,1.5,4.9,1.8,0,0
174,2016,1,8,6,-1.7,2.4,-9.1,1.7,57,6.8,1012.6,1.5,5.0,1.8,0,0
175,2016,1,8,7,-1.7,2.4,-9.1,1.7,57,6.8,1013.0,1.5,5.0,1.8,11,1
176,2016,1,8,8,-1.8,2.4,-8.7,1.7,59,7.1,1013.5,1.5,5.0,1.8,43,3
177,2016,1,8,9,-1.4,2.4,-8.3,1.7,59,7.1,1014.3,1.5,5.3,2.0,194,14
178,2016,1,8,10,-0.2,2.4,-7.5,1.7,58,7.0,1014.7,1.5,5.4,2.0,352,25
179,2016,1,8,11,1.1,2.4,-7.4,1.7,53,6.4,1014.6,1.5,5.9,2.2,471,33
180,2016,1,8,12,2.2,2.4,-7.3,1.7,49,5.9,1013.9,1.5,5.8,2.1,534,37
181,2016,1,8,13,3.1,2.4,-7.5,1.7,46,5.5,1012.9,1.5,5.7,2.1,533,37
182,2016,1,8,14,3.6,2.4,-7.2,1.7,45,5.4,1012.6,1.5,5.5,2.0,470,33
183,2016,1,8,15,3.8,2.4,-7.3,1.7,44,5.3,1012.6,1.5,5.3,2.0,350,24
184,2016,1,8,16,3.5,2.4,-8.4,1.7,41,4.9,1012.2,1.5,4.6,1.7,191,13
185,2016,1,8,17,2.8,2.4,-8.3,1.7,44,5.3,1012.8,1.5,3.9,1.4,0,0
186,2016,1,8,18,1.8,2.4,-8.0,1.7,48,5.8,1013.6,1.5,3.9,1.4,10,1
187,2016,1,8,19,1.1,2.4,-7.7,1.7,52,6.2,1014.3,1.5,3.8,1.4,10,1
188,2016,1,8,20,0.5,2.4,-7.7,1.7,54,6.5,1014.8,1.5,3.9,1.4,0,0
189,2016,1,8,21,0.1,2.4,-7.7,1.7,56,6.7,1015.0,1.5,4.0,1.5,0,0
190,2016,1,8,22,-0.2,2.4,-7.8,1.7,57,6.8,1015.2,1.5,4.2,1.6,0,0
191,2016,1,8,23,-0.5,2.4,-7.8,1.7,58,7.0,1015.3,1.5,4.4,1.6,0,0
192,2016,1,9,0,-0.8,2.4,-7.8,1.7,59,7.1,1015.5,1.5,4.5,1.7,0,0
193,2016,1,9,1,-1.0,2.4,-7.5,1.7,61,7.3,1015.8,1.5,4.0,1.5,0,0
194,2016,1,9,2,-1.1,2.4,-7.1,1.7,64,7.7,1016.2,1.5,3.5,1.3,0,0
195,2016,1,9,3,-1.3,2.4,-6.7,1.7,67,8.0,1016.5,1.5,3.2,1.2,0,0
196,2016,1,9,4,-1.4,2.4,-7.6,1.7,63,7.6,1015.9,1.5,3.6,1.3,0,0
197,2016,1,9,5,-1.4,2.4,-7.1,1.7,65,7.8,1015.8,1.5,3.4,1.3,0,0
198,2016,1,9,6,-1.3,2.4,-6.6,1.7,67,8.0,1016.2,1.5,3.2,1.2,0,0
199,2016,1,9,7,-1.3,2.4,-6.2,1.7,69,8.3,1016.6,1.5,3.1,1.1,10,1
200,2016,1,9,8,-1.3,2.4,-5.7,1.7,72,8.6,1017.2,1.5,3.0,1.1,43,3
201,2016,1,9,9,-0.3,2.4,-5.6,1.7,67,8.0,1017.7,1.5,3.2,1.2,196,14
202,2016,1,9,10,1.2,2.4,-5.0,1.7,63,7.6,1017.9,1.5,3.5,1.3,355,25
203,2016,1,9,11,2.4,2.4,-4.7,1.7,59,7.1,1017.9,1.5,3.7,1.4,475,33
204,2016,1,9,12,3.5,2.4,-4.6,1.7,55,6.6,1017.0,1.5,3.8,1.4,538,38
205,2016,1,9,13,4.4,2.4,-4.8,1.7,51,6.1,1016.0,1.5,3.9,1.4,537,38
206,2016,1,9,14,5.1,2.4,-4.9,1.7,48,5.8,1015.5,1.5,4.0,1.5,473,33
207,2016,1,9,15,5.4,2.4,-5.2,1.7,46,5.5,1015.4,1.5,3.8,1.4,353,25
208,2016,1,9,16,5.4,2.4,-5.7,1.7,45,5.4,1015.0,1.5,3.6,1.3,184,13
209,2016,1,9,17,4.7,2.4,-5.4,1.7,48,5.8,1015.2,1.5,2.9,1.1,41,3
210,2016,1,9,18,3.5,2.4,-5.1,1.7,53,6.4,1015.6,1.5,2.8,1.0,10,1
211,2016,1,9,19,2.6,2.4,-4.8,1.7,58,7.0,1016.1,1.5,2.9,1.1,10,1
212,2016,1,9,20,1.8,2.4,-4.9,1.7,61,7.3,1016.6,1.5,3.0,1.1,0,0
213,2016,1,9,21,1.3,2.4,-5.0,1.7,63,7.6,1017.2,1.5,3.1,1.1,0,0
214,2016,1,9,22,0.9,2.4,-5.1,1.7,64,7.7,1017.6,1.5,3.2,1.2,0,0
215,2016,1,9,23,0.6,2.4,-5.2,1.7,65,7.8,1017.8,1.5,3.3,1.2,0,0
216,2016,1,10,0,0.4,2.4,-5.3,1.7,66,7.9,1017.7,1.5,3.3,1.2,0,0
217,2016,1,10,1,0.3,2.4,-5.3,1.7,66,7.9,1017.8,1.5,3.3,1.2,0,0
218,2016,1,10,2,0.2,2.4,-5.2,1.7,67,8.0,1017.7,1.5,3.3,1.2,0,0
219,2016,1,10,3,0.1,2.4,-5.1,1.7,68,8.2,1017.7,1.5,3.2,1.2,0,0
220,2016,1,10,4,0.6,2.4,-4.8,1.7,67,8.0,1016.7,1.5,2.9,1.1,0,0
221,2016,1,10,5,0.2,2.4,-4.6,1.7,70,8.4,1016.8,1.5,2.8,1.0,0,0
222,2016,1,10,6,-0.3,2.4,-4.6,1.7,73,8.8,1017.1,1.5,2.7,1.0,0,0
223,2016,1,10,7,-0.8,2.4,-4.6,1.7,75,9.0,1017.6,1.5,2.5,0.9,10,1
224,2016,1,10,8,-1.2,2.4,-4.5,1.7,78,9.4,1018.2,1.5,2.4,0.9,35,2
225,2016,1,10,9,0.8,2.4,-4.1,1.7,70,8.4,1018.8,1.5,2.3,0.9,189,13
226,2016,1,10,10,2.9,2.4,-4.3,1.7,59,7.1,1019.2,1.5,2.7,1.0,345,24
227,2016,1,10,11,4.0,2.4,-4.0,1.7,56,6.7,1019.1,1.5,3.1,1.1,463,32
228,2016,1,10,12,5.0,2.4,-3.7,1.7,53,6.4,1018.4,1.5,3.1,1.1,526,37
229,2016,1,10,13,5.9,2.4,-3.6,1.7,51,6.1,1017.4,1.5,3.2,1.2,527,37
230,2016,1,10,14,6.5,2.4,-3.7,1.7,48,5.8,1016.7,1.5,3.0,1.1,465,33
231,2016,1,10,15,6.8,2.4,-3.9,1.7,46,5.5,1016.6,1.5,2.8,1.0,348,24
232,2016,1,10,16,6.7,2.4,-3.9,1.7,47,5.6,1016.1,1.5,2.3,0.9,174,12
233,2016,1,10,17,6.1,2.4,-3.5,1.7,50,6.0,1016.7,1.5,1.9,0.7,42,3
234,2016,1,10,18,4.7,2.4,-2.6,1.7,59,7.1,1017.0,1.5,1.9,0.7,10,1
235,2016,1,10,19,3.0,2.4,-2.4,1.7,68,8.2,1017.9,1.5,2.3,0.9,10,1
236,2016,1,10,20,1.8,2.4,-2.8,1.7,72,8.6,1018.0,1.5,2.6,1.0,0,0
237,2016,1,10,21,1.0,2.4,-3.2,1.7,74,8.9,1018.6,1.5,2.6,1.0,0,0
238,2016,1,10,22,0.6,2.4,-3.8,1.7,72,8.6,1018.6,1.5,2.8,1.0,0,0
239,2016,1,10,23,0.5,2.4,-4.7,1.7,68,8.2,1018.6,1.5,3.0,1.1,0,0
240,2016,1,11,0,0.5,2.4,-5.8,1.7,63,7.6,1018.3,1.5,3.2,1.2,0,0
241,2016,1,11,1,0.5,2.4,-7.3,1.7,56,6.7,1018.2,1.5,3.5,1.3,0,0
242,2016,1,11,2,0.5,2.4,-9.2,1.7,48,5.8,1017.8,1.5,3.9,1.4,0,0
243,2016,1,11,3,0.3,2.4,-10.9,1.7,43,5.2,1017.7,1.5,4.2,1.6,0,0
244,2016,1,11,4,0.7,2.4,-12.2,1.7,37,4.4,1017.0,1.5,4.4,1.6,0,0
245,2016,1,11,5,0.5,2.4,-12.8,1.7,36,4.3,1016.8,1.5,4.5,1.7,0,0
246,2016,1,11,6,0.2,2.4,-13.0,1.7,36,4.3,1016.7,1.5,4.4,1.6,0,0
247,2016,1,11,7,-0.0,2.4,-13.1,1.7,37,4.4,1016.9,1.5,4.3,1.6,10,1
